DT,Home,Away,Home_points,Away_points,season,country,league
2023-04-01 01:00:00,Washington Wizards,Orlando Magic,109.0,116.0,2022-2023,usa,nba
2023-03-31 04:00:00,Denver Nuggets,New Orleans Pelicans,88.0,107.0,2022-2023,usa,nba
2023-03-31 01:30:00,Milwaukee Bucks,Boston Celtics,99.0,140.0,2022-2023,usa,nba
2023-03-30 04:00:00,Phoenix Suns,Minnesota Timberwolves,107.0,100.0,2022-2023,usa,nba
2023-03-30 04:00:00,Portland Trail Blazers,Sacramento Kings,80.0,120.0,2022-2023,usa,nba
2023-03-30 02:00:00,Chicago Bulls,Los Angeles Lakers,110.0,121.0,2022-2023,usa,nba
2023-03-30 02:00:00,Memphis Grizzlies,Los Angeles Clippers,132.0,141.0,2022-2023,usa,nba
2023-03-30 02:00:00,Oklahoma City Thunder,Detroit Pistons,107.0,106.0,2022-2023,usa,nba
2023-03-30 02:00:00,San Antonio Spurs,Utah Jazz,117.0,128.0,2022-2023,usa,nba
2023-03-30 01:30:00,Brooklyn Nets,Houston Rockets,123.0,114.0,2022-2023,usa,nba
2023-03-30 01:30:00,New York Knicks,Miami Heat,101.0,92.0,2022-2023,usa,nba
2023-03-30 01:30:00,Philadelphia 76ers,Dallas Mavericks,116.0,108.0,2022-2023,usa,nba
2023-03-30 01:00:00,Indiana Pacers,Milwaukee Bucks,136.0,149.0,2022-2023,usa,nba
2023-03-29 04:00:00,Golden State Warriors,New Orleans Pelicans,120.0,109.0,2022-2023,usa,nba
2023-03-29 02:00:00,Memphis Grizzlies,Orlando Magic,113.0,108.0,2022-2023,usa,nba
2023-03-29 02:00:00,Oklahoma City Thunder,Charlotte Hornets,134.0,137.0,2022-2023,usa,nba
2023-03-29 01:30:00,Atlanta Hawks,Cleveland Cavaliers,120.0,118.0,2022-2023,usa,nba
2023-03-29 01:30:00,Toronto Raptors,Miami Heat,106.0,92.0,2022-2023,usa,nba
2023-03-29 01:00:00,Washington Wizards,Boston Celtics,130.0,111.0,2022-2023,usa,nba
2023-03-28 04:30:00,Los Angeles Clippers,Chicago Bulls,124.0,112.0,2022-2023,usa,nba
2023-03-28 04:00:00,Portland Trail Blazers,New Orleans Pelicans,90.0,124.0,2022-2023,usa,nba
2023-03-28 04:00:00,Sacramento Kings,Minnesota Timberwolves,115.0,119.0,2022-2023,usa,nba
2023-03-28 03:30:00,Denver Nuggets,Philadelphia 76ers,116.0,111.0,2022-2023,usa,nba
2023-03-28 03:00:00,Utah Jazz,Phoenix Suns,103.0,117.0,2022-2023,usa,nba
2023-03-28 01:30:00,New York Knicks,Houston Rockets,137.0,115.0,2022-2023,usa,nba
2023-03-28 01:00:00,Detroit Pistons,Milwaukee Bucks,117.0,126.0,2022-2023,usa,nba
2023-03-28 01:00:00,Indiana Pacers,Dallas Mavericks,104.0,127.0,2022-2023,usa,nba
2023-03-27 02:30:00,Golden State Warriors,Minnesota Timberwolves,96.0,99.0,2022-2023,usa,nba
2023-03-27 01:00:00,Portland Trail Blazers,Oklahoma City Thunder,112.0,118.0,2022-2023,usa,nba
2023-03-27 00:00:00,Atlanta Hawks,Memphis Grizzlies,119.0,123.0,2022-2023,usa,nba
2023-03-27 00:00:00,Boston Celtics,San Antonio Spurs,137.0,93.0,2022-2023,usa,nba
2023-03-27 00:00:00,Cleveland Cavaliers,Houston Rockets,108.0,91.0,2022-2023,usa,nba
2023-03-27 00:00:00,Orlando Magic,Brooklyn Nets,119.0,106.0,2022-2023,usa,nba
2023-03-27 00:00:00,Toronto Raptors,Washington Wizards,114.0,104.0,2022-2023,usa,nba
2023-03-26 21:30:00,Los Angeles Lakers,Chicago Bulls,108.0,118.0,2022-2023,usa,nba
2023-03-26 19:00:00,Charlotte Hornets,Dallas Mavericks,110.0,104.0,2022-2023,usa,nba
2023-03-26 04:30:00,Los Angeles Clippers,New Orleans Pelicans,110.0,131.0,2022-2023,usa,nba
2023-03-26 04:00:00,Phoenix Suns,Philadelphia 76ers,125.0,105.0,2022-2023,usa,nba
2023-03-26 04:00:00,Sacramento Kings,Utah Jazz,121.0,113.0,2022-2023,usa,nba
2023-03-26 03:00:00,Denver Nuggets,Milwaukee Bucks,129.0,106.0,2022-2023,usa,nba
2023-03-26 01:00:00,Miami Heat,Brooklyn Nets,100.0,129.0,2022-2023,usa,nba
2023-03-25 22:00:00,Atlanta Hawks,Indiana Pacers,143.0,130.0,2022-2023,usa,nba
2023-03-25 03:30:00,Los Angeles Lakers,Oklahoma City Thunder,116.0,111.0,2022-2023,usa,nba
2023-03-25 03:00:00,Golden State Warriors,Philadelphia 76ers,120.0,112.0,2022-2023,usa,nba
2023-03-25 03:00:00,Portland Trail Blazers,Chicago Bulls,96.0,124.0,2022-2023,usa,nba
2023-03-25 03:00:00,Sacramento Kings,Phoenix Suns,135.0,127.0,2022-2023,usa,nba
2023-03-25 02:00:00,Utah Jazz,Milwaukee Bucks,116.0,144.0,2022-2023,usa,nba
2023-03-25 01:30:00,Dallas Mavericks,Charlotte Hornets,109.0,117.0,2022-2023,usa,nba
2023-03-25 01:00:00,Memphis Grizzlies,Houston Rockets,151.0,114.0,2022-2023,usa,nba
2023-03-25 00:30:00,Toronto Raptors,Detroit Pistons,118.0,97.0,2022-2023,usa,nba
2023-03-25 00:00:00,Boston Celtics,Indiana Pacers,120.0,95.0,2022-2023,usa,nba
2023-03-25 00:00:00,Washington Wizards,San Antonio Spurs,136.0,124.0,2022-2023,usa,nba
2023-03-24 03:30:00,Los Angeles Clippers,Oklahoma City Thunder,127.0,105.0,2022-2023,usa,nba
